;32;64;128;256;512;1024
8;2048;0.007296
8;4096;0.008832
8;8192;0.008832
8;16384;0.010816
8;32768;0.014496
8;65536;0.022336
8;131072;0.037856
8;262144;0.068224
8;524288;0.129152
8;1048576;0.250976
8;2097152;0.494912
8;4194304;1.58314
8;8388608;1.95606
16;1024;0.0072
16;2048;0.007232
16;4096;0.007488
16;8192;0.008224
16;16384;0.009024
16;32768;0.010848
16;65536;0.014784
16;131072;0.022368
16;262144;0.037824
16;524288;0.068416
16;1048576;0.129696
16;2097152;0.25168
16;4194304;0.49568
16;8388608;0.981504
32;1024;0.0072
32;2048;0.007264
32;4096;0.007648
32;8192;0.00784
32;16384;0.008096
32;32768;0.0088
32;65536;0.010816
32;131072;0.014784
32;262144;0.032224
32;524288;0.04192
32;1048576;0.080832
32;2097152;0.153632
32;4194304;0.291552
32;8388608;0.577312
64;1024;0.007264
64;2048;0.007232
64;4096;0.007392
64;8192;0.008224
64;16384;0.008224
64;32768;0.008384
64;65536;0.009504
64;131072;0.012512
64;262144;0.022336
64;524288;0.039264
64;1048576;0.0792
64;2097152;0.147008
64;4194304;0.30992
64;8388608;0.601632
128;1024;0.007392
128;2048;0.007328
128;4096;0.00736
128;8192;0.007968
128;16384;0.008512
128;32768;0.008576
128;65536;0.009408
128;131072;0.012192
128;262144;0.022144
128;524288;0.042816
128;1048576;0.07808
128;2097152;0.155008
128;4194304;0.291872
128;8388608;0.587808
256;1024;0.007232
256;2048;0.00752
256;4096;0.007424
256;8192;0.008192
256;16384;0.008224
256;32768;0.008416
256;65536;0.009024
256;131072;0.015456
256;262144;0.02432
256;524288;0.042464
256;1048576;0.078688
256;2097152;0.149056
256;4194304;0.29792
256;8388608;0.59184
512;1024;0.007392
512;2048;0.007488
512;4096;0.007488
512;8192;0.007872
512;16384;0.008192
512;32768;0.008672
512;65536;0.009888
512;131072;0.017472
512;262144;0.022048
512;524288;0.043776
512;1048576;0.079584
512;2097152;0.15136
512;4194304;0.291424
512;8388608;0.590304
1024;1024;0.007648
1024;2048;0.007744
1024;4096;0.007712
1024;8192;0.008192
1024;16384;0.008384
1024;32768;0.008384
1024;65536;0.009536
1024;131072;0.012992
1024;262144;0.022624
1024;524288;0.043072
1024;1048576;0.077792
1024;2097152;0.154304
1024;4194304;0.292736
1024;8388608;0.6088
ThreadsPerBlock;Block;Timer
2;1024;0.007872
2;2048;0.007424
2;4096;0.009152
2;8192;0.013024
2;16384;0.019744
2;32768;0.034144
2;65536;0.062784
2;131072;0.120832
2;262144;0.233056
2;524288;0.46144
2;1048576;1.3121
2;2097152;1.82307
2;4194304;3.56131
2;8388608;7.11514
4;1024;0.00736
4;2048;0.007456
4;4096;0.007328
4;8192;0.008832
4;16384;0.012384
4;32768;0.019456
4;65536;0.033664
4;131072;0.06304
4;262144;0.117792
4;524288;0.23024
4;1048576;0.455296
4;2097152;0.90464
4;4194304;1.80134
4;8388608;3.59706
8;1024;0.007104
8;2048;0.013696
8;4096;0.0064
8;8192;0.007264
8;16384;0.00896
8;32768;0.013664
8;65536;0.019744
8;131072;0.033536
8;262144;0.061792
8;524288;0.119264
8;1048576;0.232128
8;2097152;0.457408
8;4194304;0.909664
8;8388608;1.81098
16;1024;0.00688
16;2048;0.006304
16;4096;0.00624
16;8192;0.006464
16;16384;0.008864
16;32768;0.008896
16;65536;0.012576
16;131072;0.019488
16;262144;0.033888
16;524288;0.063424
16;1048576;0.119776
16;2097152;0.232384
16;4194304;0.457824
16;8388608;0.910144
32;1024;0.006784
32;2048;0.006208
32;4096;0.006304
32;8192;0.00624
32;16384;0.00768
32;32768;0.007136
32;65536;0.009408
32;131072;0.014304
32;262144;0.02176
32;524288;0.04336
32;1048576;0.110848
32;2097152;0.164608
32;4194304;0.3584
32;8388608;0.600192
64;1024;0.006848
64;2048;0.006688
64;4096;0.0064
64;8192;0.007488
64;16384;0.006432
64;32768;0.00656
64;65536;0.008352
64;131072;0.011488
64;262144;0.020896
64;524288;0.041856
64;1048576;0.077344
64;2097152;0.152736
64;4194304;0.301472
64;8388608;0.62576
128;1024;0.00656
128;2048;0.006336
128;4096;0.006784
128;8192;0.007456
128;16384;0.006272
128;32768;0.007648
128;65536;0.007264
128;131072;0.01024
128;262144;0.02384
128;524288;0.037856
128;1048576;0.07808
128;2097152;0.14608
128;4194304;0.49776
128;8388608;0.58208
256;1024;0.006496
256;2048;0.006272
256;4096;0.006272
256;8192;0.006464
256;16384;0.007488
256;32768;0.007808
256;65536;0.008896
256;131072;0.010912
256;262144;0.020128
256;524288;0.043776
256;1048576;0.0784
256;2097152;0.149248
256;4194304;0.307552
256;8388608;0.57712
512;1024;0.006688
512;2048;0.006144
512;4096;0.006976
512;8192;0.006528
512;16384;0.006368
512;32768;0.00784
512;65536;0.00736
512;131072;0.010048
512;262144;0.02368
512;524288;0.038272
512;1048576;0.081184
512;2097152;0.148128
512;4194304;0.2912
512;8388608;0.578016
1024;1024;0.007264
1024;2048;0.006496
1024;4096;0.006272
1024;8192;0.006688
1024;16384;0.007456
1024;32768;0.00656
1024;65536;0.007648
1024;131072;0.017376
1024;262144;0.0256
1024;524288;0.03808
1024;1048576;0.0752
1024;2097152;0.153792
1024;4194304;0.29104
1024;8388608;0.843008
ThreadsPerBlock;Block;Timer
2;1024;0.007488
2;2048;0.007392
2;4096;0.00912
2;8192;0.01296
2;16384;0.0208
2;32768;0.035232
2;65536;0.06272
2;131072;0.120352
2;262144;0.23312
2;524288;0.459488
2;1048576;0.914624
2;2097152;1.82214
2;4194304;3.56112
